trajectory,round,bleu_4,rouge_l,meteor,spider,fense,bertscore,clapscore,paraspeechcaps,stylecap
midasheng_rewardv2,r6,1.1942930682145973e-06,0.272588815769133,0.094919194904248,0.05559014310949164,0.8750121326907551,0.6911493539810181,,0.23163613246828071,0.4023136246786632
midasheng_rewardv2,r7,1.1315283632990422e-06,0.2705341964966131,0.09436061985966349,0.055117517156564565,0.8733430550004484,0.690026581287384,,0.23692070427352924,0.4052056555269923
midasheng_rewardv2,r8,1.155047379411799e-06,0.2716123326592165,0.09459920787177196,0.05538482841029622,0.8747439465725465,0.6914522647857666,,0.23343216269350903,0.4055269922879177
midasheng_rewardv2,r9,1.2713003124439879e-06,0.273266549237741,0.09504134363925233,0.05570082321445101,0.8767661821971969,0.6904604434967041,,0.23942023852943572,0.4074550128534704
midasheng_rewardv2,r10,1.2252841048590632e-06,0.2723406967715288,0.09511489000963926,0.05549440565639265,0.8744207038726134,0.6903086304664612,,0.24682335075852835,0.40488431876606684
midasheng_rewardv2,r11,1.360563914953637e-06,0.2749721319788443,0.09626068404001926,0.05643092073711501,0.874852181213269,0.691615879535675,,0.25012468268799315,0.40713367609254497
midasheng_rewardv2,r12,1.2986272440402907e-06,0.277405883582883,0.09628433099186771,0.05700193669970365,0.8762095849862551,0.6912884712219238,,0.25437811101739954,0.40616966580976865
midasheng_rewardv3,base,1.165828070677223e-06,0.2645554464881846,0.09364280243789828,0.053341088483191836,0.8716476425659848,0.6908627152442932,,0.2337674140767881,0.4045629820051414
midasheng_rewardv3,r0,1.1469921633251372e-06,0.2678906983982858,0.09398825290131703,0.0544452091999439,0.8710596709717365,0.69120192527771,,0.235866857944198,0.4026349614395887
midasheng_rewardv3,r1,1.0996207257147634e-06,0.27060724597649904,0.09461786247007414,0.05500072122965515,0.8748445448416883,0.6921875476837158,,0.2303394727248087,0.4064910025706941
midasheng_rewardv3,r2,1.1789862355383231e-06,0.2671188601787487,0.09403123509094795,0.054140214405404175,0.8729358752846657,0.6913987994194031,,0.23070435239071507,0.4055269922879177
midasheng_rewardv3,r3,1.1833754894757838e-06,0.2641983647942731,0.09351444108670953,0.05334727503566135,0.8722310227455408,0.6898187398910522,,0.22881978465317246,0.40488431876606684
midasheng_rewardv3,r4,1.024270197232964e-06,0.2692440925140217,0.0941677373920721,0.05459588044213199,0.8746546453951306,0.6919991374015808,,0.23216226513085506,0.4023136246786633
midasheng_rewardv3,r5,1.1889975581185888e-06,0.2686915947422339,0.09451586844213053,0.05456786682561548,0.8738229619369043,0.6913254261016846,,0.23478536963892774,0.40616966580976865
midasheng_rewardv3,r6,1.1387794759504777e-06,0.26467668304792075,0.09338048254939206,0.05339284802907377,0.8712956453741617,0.6898273229598999,,0.2292177470214819,0.4077763496143959
midasheng_rewardv3,r7,1.1457531825581686e-06,0.2691932284849441,0.09415399604142989,0.054916667485000785,0.8735985003060291,0.6907199025154114,,0.23529306393312877,0.40616966580976865
midasheng_rewardv3,r8,1.1344714906690711e-06,0.2645361921032375,0.09329844246655765,0.0536165248099754,0.8718434721432307,0.6892701983451843,,0.23300287275482054,0.4032776349614396
midasheng_rewardv3,r9,1.0994274791342078e-06,0.2678716828991722,0.09461576374566177,0.0543448563478153,0.8723705248520003,0.6912606954574585,,0.24099433036069468,0.40070694087403597
