round_index,branch,id,valid_candidates,scores,mean,span,std,top2_gap,pairwise_gap
1,caption,random440_expressivespeech_182,4,"[-1.3180372873321176, -1.322847014584113, -1.3677605750854127, -1.3112342925742269]",-1.3299697923939675,0.056526282511185855,0.022205184364845792,0.006802994757890701,0.02906476246425882
1,caption,random440_deear_001,4,"[-1.9831488773706951, -1.8449083729938138, -2.1171462089259876, -2.0064201281638816]",-1.9879058968635945,0.27223783593217377,0.09684621325840469,0.1382405043768813,0.1399974597649513
1,caption,random440_expressivespeech_268,4,"[-1.502533616265282, -1.4879988085012883, -1.555469309387263, -1.4960512573597953]",-1.5105132478784071,0.06747050088597462,0.02646115614110421,0.008052448858506978,0.03481564359390177
1,caption,random440_deear_099,4,"[-1.0158163053294023, -0.9290658558408419, -1.0297332861771187, -1.0097962180773417]",-0.9961029163561761,0.10066743033627679,0.039373510999358874,0.08073036223649976,0.051337063043481825
1,caption,random440_expressivespeech_159,4,"[-1.5395919311558828, -1.5751640617381781, -1.5520513444207609, -1.611781324725598]",-1.569647165510105,0.07218939356971532,0.027471137347602106,0.012459413264878094,0.03994681633776054
1,caption,random440_expressivespeech_276,4,"[-1.7202798360958695, -1.6814565852982923, -1.7345454868627712, -1.8370466293999925]",-1.7433321344142314,0.1555900441017002,0.05748826789395286,0.0388232507975772,0.08017263051200037
1,caption,random440_expressivespeech_339,4,"[-1.647725268470822, -1.574862472145469, -1.665469960164046, -1.5460544087836752]",-1.608528027391003,0.11941555138037074,0.04953566908825181,0.028808063361793756,0.0718515750777442
1,caption,random440_expressivespeech_299,4,"[-1.5459875139495125, -1.6292004574497696, -1.6116002106427914, -1.6156170535687124]",-1.6006013089026965,0.0832129435002571,0.032198704648515084,0.06561269669327885,0.04227594557111539
1,caption,random440_expressivespeech_253,4,"[-1.4818010120652616, -1.5047395057044923, -1.4819092155667022, -1.517324956599623]",-1.4964436724840198,0.03552394453436136,0.015252104913411677,0.00010820350144058466,0.02156702062347904
1,caption,random440_deear_076,4,"[-1.7369270680937916, -1.8173532490327489, -1.8481527483090758, -1.842700689099729]",-1.8112834386338363,0.11122568021528423,0.0444749987659711,0.08042618093895726,0.05983741345213881
1,caption,random440_deear_007,4,"[-1.3336510960943997, -1.2503439760766923, -1.274705265997909, -1.3950662750285119]",-1.3134416532993782,0.14472229895181954,0.05601969524769186,0.024361289921216667,0.08218545449199155
1,caption,random440_expressivespeech_051,4,"[-2.3003780299331993, -2.32406823556812, -2.1268361367692705, -2.2194775437092176]",-2.242689986494952,0.19723209879884962,0.07731633361439463,0.09264140693994705,0.11209946377008843
1,caption,random440_expressivespeech_177,4,"[-2.272481591394171, -2.2379385497110587, -2.2031246558763087, -2.199498522778352]",-2.2282608299399724,0.07298306861581905,0.029615163191239604,0.003626133097956785,0.04229384994703452
1,caption,random440_expressivespeech_132,4,"[-1.5990829654037952, -1.6305640020000283, -1.5577964717522264, -1.6055075564072467]",-1.5982377488908242,0.07276753024780191,0.026144062561893642,0.04128649365156889,0.03745453029114287
1,caption,random440_expressivespeech_134,4,"[-1.7930874521989608, -1.6971704531897558, -1.7281124800938414, -1.8103977762220893]",-1.7571920404261618,0.11322732303233352,0.04628051066978247,0.03094202690408565,0.06744282353368665
1,caption,random440_deear_041,4,"[-1.2900371701146165, -1.1954316964761043, -1.2019320235898097, -1.232273173875486]",-1.229918516014004,0.09460547363851224,0.03739111346484242,0.006500327113705406,0.05235959520020217
1,caption,random440_expressivespeech_300,4,"[-2.2543505693320185, -2.355404982838081, -2.263360175769776, -2.286248951451853]",-2.289841169847932,0.1010544135060627,0.03959906368577379,0.009009606437757611,0.054342002700044155
1,caption,random440_expressivespeech_302,4,"[-2.014050064244657, -1.8541310655054986, -1.9343792219442548, -1.9005842117912835]",-1.9257861408714234,0.15991899873915827,0.0583822495854199,0.046453146285784896,0.08559200106174103
1,caption,random440_deear_097,4,"[-1.3478167120367288, -1.473526276772221, -1.3608438950031996, -1.383200471351544]",-1.3913468387909234,0.12570956473549222,0.049104798249083086,0.013027182966470763,0.06658087842580351
1,caption,random440_deear_073,4,"[-2.7553899976192042, -2.5488801660831086, -2.4134505026158877, -2.703102335333824]",-2.605205750413006,0.34193949500331655,0.13424017278360645,0.13542966346722096,0.19667344237677753
1,caption,random440_deear_029,4,"[-1.3028061054646969, -1.381845511496067, -1.323581356788054, -1.2948187817819417]",-1.32576293888269,0.0870267297141254,0.0340388429247662,0.007987323682755232,0.0469759067442889
1,caption,random440_deear_060,4,"[-2.571825621649623, -2.4344692258164287, -2.3529217578470707, -2.445686695165932]",-2.4512258251197636,0.21890386380255222,0.07829346420081237,0.08154746796935797,0.11132151012619336
1,caption,random440_expressivespeech_190,4,"[-1.5291252927854657, -1.3980322001734748, -1.515344891231507, -1.483287792885676]",-1.481447544269031,0.13109309261199087,0.05095023056925743,0.08525559271220118,0.0708893960303006
1,caption,random440_expressivespeech_198,4,"[-1.364998709075735, -1.3209508296858985, -1.3057110720183118, -1.3320825591945322]",-1.3309357924936194,0.059287637057423126,0.02178062995688747,0.015239757667586673,0.03149910678015052
1,caption,random440_deear_088,4,"[-1.6595990465333064, -1.4576395719467352, -1.4234596108319237, -1.7043150063293675]",-1.561253308910333,0.28085539549744376,0.12233299135424133,0.034179961114811475,0.17408761017981708
1,caption,random440_expressivespeech_331,4,"[-1.583042338505038, -1.4937389764891122, -1.5707338532229187, -1.6273332421988016]",-1.5687121026039677,0.13359426570968935,0.048132241749622925,0.07699487673380645,0.06884854706853123
1,caption,random440_expressivespeech_273,4,"[-1.3846094289484123, -1.335005517055591, -1.2879032803078492, -1.2953909641752641]",-1.325727297621779,0.09670614864056315,0.038419201443326036,0.00748768386741494,0.05495549980033606
1,caption,random440_expressivespeech_141,4,"[-1.4534347880942127, -1.4239435762516224, -1.4189061018250262, -1.4798115423182026]",-1.444024002122266,0.060905440493176366,0.024512462872863554,0.005037474426596189,0.03536792222035323
1,caption,random440_expressivespeech_156,4,"[-1.1563681333791465, -1.0218955663731322, -1.0337984915822744, -1.0245818723924458]",-1.0591610159317497,0.1344725670060143,0.05629589732504351,0.0026863060193136334,0.06877238670131192
1,caption,random440_expressivespeech_058,4,"[-1.9767886681074742, -2.011751425161492, -1.9780194957274944, -2.0356960410717875]",-2.000563907517062,0.058907372964313254,0.024662420152289973,0.0012308276200201362,0.03507567472115625
1,caption,random440_expressivespeech_214,4,"[-1.4638071520021185, -1.4749727633898146, -1.4524915873771533, -1.4774013372370973]",-1.467168210001546,0.024909749859943986,0.009903634549291334,0.011315564624965191,0.01431581016125468
1,caption,random440_expressivespeech_049,4,"[-0.8870105764217442, -0.9784887257264927, -0.872955626444309, -0.8621780987305101]",-0.900158256830764,0.1163106269959826,0.0460733094286291,0.010777527713798918,0.060497805160897165
1,caption,random440_expressivespeech_332,4,"[-1.2938854236526822, -1.2607261867960915, -1.2219525161854108, -1.3156122363870963]",-1.2730440907553202,0.09365972020168556,0.03538533569661366,0.03877367061068071,0.052356399576941236
1,caption,random440_expressivespeech_284,4,"[-1.4328170260996558, -1.5059425804647617, -1.5190264701886917, -1.519723987505131]",-1.49437751606456,0.08690696140547516,0.03596338135242957,0.07312555436510593,0.04563412899005925
1,caption,random440_deear_091,4,"[-1.8160597689449787, -1.8521880040566125, -1.7924105666577816, -1.8059797267119089]",-1.8166595165928205,0.0597774373988309,0.02216248295858546,0.013569160054127227,0.03156872573826042
1,caption,random440_expressivespeech_172,4,"[-1.8336388070019893, -1.9097917147737462, -1.9528854966556537, -1.8578196756425314]",-1.8885339235184802,0.11924668965366436,0.046232719729175004,0.02418086864054203,0.06828535134870133
1,caption,random440_expressivespeech_139,4,"[-1.8268922205606941, -1.8309498963790247, -1.7734093468025094, -1.8972605893795844]",-1.8321280132804532,0.12385124257707503,0.04392873702684506,0.053482873758184724,0.06260190059159261
1,caption,random440_expressivespeech_193,4,"[-1.6680572163313627, -1.7127132531022653, -1.4962922472623177, -1.5281109892530367]",-1.6012934264872456,0.2164210058399476,0.09117661179742705,0.03181874199071899,0.1315348740996948
